书名,作者,标题,内容,评分,日期
平凡的世界,阳光少年,有点失望,书的装帧精美，内容更是精彩绝伦。,5星,2025-08-17
红楼梦,阳光少年,引人深思,书的内容还可以，但是感觉有些地方写得不够深入。,3星,2025-10-14
白夜行,记者,必读好书,整体来说还不错，就是节奏有点慢，需要耐心读下去。,4星,2025-03-20
百年孤独,大学生,还可以,非常棒的一本书，值得每个人都读一读。,5星,2025-01-23
三体,上班族,很喜欢,读起来很流畅，故事很吸引人，一口气就读完了。,5星,2025-03-23
百年孤独,爱读书的猫,不推荐,看了好几遍，每次都有新的感悟。这是一本可以反复阅读的经典之作。,4星,2025-06-03
原则,张三,非常好看,故事感人至深，让我流了好几次眼泪。,4星,2025-05-09
平凡的世界,医生,非常好看,这是我今年读过最好的一本书，强烈推荐！,5星,2025-02-28
红楼梦,程序员,感人至深,读了一半，感觉还行，但没有想象中那么精彩。,3星,2024-12-06
白夜行,上班族,惊喜之作,书的质量一般，而且有些错别字。,1星,2024-12-14
人类简史,医生,有点失望,这本书改变了我的很多想法，非常有启发性。感谢作者！,5星,2025-04-10
1984,工程师,非常好看,作者的见解独到，文字功底深厚，值得细细品味。,5星,2025-07-07
白夜行,医生,一般般,内容丰富，逻辑清晰，是一本不可多得的好书。,5星,2025-11-13
活着,书虫一枚,必读好书,整体还可以，就是有些地方感觉有点啰嗦。,3星,2025-11-22
追风筝的人,小明,一般般,非常值得一读的好书，给我带来了很多思考和启发。五星好评！,5星,2025-05-22
小王子,文艺范,非常好看,读完之后内心久久不能平静，作者的文笔太棒了，每个细节都描写得很到位。,5星,2025-01-11
人类简史,文学青年,超出预期,期望太高，结果有点失望。,3星,2024-12-11
小王子,程序员,很喜欢,这本书改变了我的很多想法，非常有启发性。感谢作者！,4星,2025-01-10
红楼梦,程序员,浪费时间,翻译得不太好，读起来很别扭。,1星,2025-03-24
1984,学生党,超出预期,期望太高，结果有点失望。,3星,2025-06-19
红楼梦,知识分子,不推荐,读完之后内心久久不能平静，作者的文笔太棒了，每个细节都描写得很到位。,4星,2025-06-09
原则,梦想家,浪费时间,书的质量一般，而且有些错别字。,2星,2025-01-26
人类简史,工程师,一般般,非常值得一读的好书，给我带来了很多思考和启发。五星好评！,5星,2025-09-09
小王子,文学青年,一般般,内容丰富，逻辑清晰，是一本不可多得的好书。,4星,2024-12-20
原则,设计师,一般般,非常棒的一本书，值得每个人都读一读。,4星,2025-06-10
活着,读书爱好者,值得一读,书中的观点很新颖，给了我很多新的思考角度。,5星,2025-05-22
红楼梦,记者,平淡无奇,整体还可以，就是有些地方感觉有点啰嗦。,4星,2025-11-07
1984,教师,不推荐,内容丰富，逻辑清晰，是一本不可多得的好书。,5星,2025-08-10
百年孤独,律师,惊喜之作,书的内容和介绍差距太大，有点失望。,2星,2025-08-30
原则,李四,经典之作,读了一半，感觉还行，但没有想象中那么精彩。,3星,2025-07-14
解忧杂货店,研究生,必读好书,书的装帧不错，内容还在慢慢品读中。,4星,2025-02-15
原则,律师,值得一读,这是我今年读过最好的一本书，强烈推荐！,4星,2025-09-12
1984,张三,非常好看,这本书改变了我的很多想法，非常有启发性。感谢作者！,5星,2025-08-26
红楼梦,作家,很喜欢,非常棒的一本书，值得每个人都读一读。,4星,2025-10-11
平凡的世界,设计师,很喜欢,内容充实，结构完整，是一本很有价值的书。,5星,2025-10-23
平凡的世界,王五,经典之作,读了一半，感觉还行，但没有想象中那么精彩。,3星,2025-01-05
三体,全职妈妈,经典之作,整体还可以，就是有些地方感觉有点啰嗦。,4星,2025-01-01
1984,读书爱好者,强烈推荐,看了好几遍，每次都有新的感悟。这是一本可以反复阅读的经典之作。,4星,2025-02-21
追风筝的人,书虫一枚,必读好书,有些观点比较有意思，但整体感觉一般般。,4星,2025-10-01
围城,作家,值得一读,书的质量很好，内容更是精彩。已经推荐给身边的朋友了。,5星,2025-08-23
解忧杂货店,书香门第,不错的书,这本书让我重新思考了人生的意义。,5星,2025-03-25
挪威的森林,文学青年,浪费时间,故事情节太拖沓，看得很累。,2星,2025-11-06
月亮与六便士,工程师,一般般,看了好几遍，每次都有新的感悟。这是一本可以反复阅读的经典之作。,4星,2025-09-13
追风筝的人,退休老人,太棒了,非常值得一读的好书，给我带来了很多思考和启发。五星好评！,5星,2025-11-06
百年孤独,梦想家,值得一读,这本书真的太好看了！情节跌宕起伏，让人欲罢不能。强烈推荐给大家！,5星,2025-04-27
三体,李四,还可以,非常喜欢这本书，已经买了好几本送给朋友。,4星,2025-08-06
百年孤独,文艺范,引人深思,书的装帧不错，内容还在慢慢品读中。,3星,2025-08-20
解忧杂货店,学生党,不错的书,读完之后内心久久不能平静，作者的文笔太棒了，每个细节都描写得很到位。,5星,2025-08-02
挪威的森林,学生党,必读好书,书的装帧不错，内容还在慢慢品读中。,4星,2025-03-09
三体,知识分子,一般般,读完之后内心久久不能平静，作者的文笔太棒了，每个细节都描写得很到位。,5星,2025-08-13
围城,静静,不推荐,读完之后内心久久不能平静，作者的文笔太棒了，每个细节都描写得很到位。,5星,2025-09-17
红楼梦,爱读书的猫,不推荐,内容丰富，逻辑清晰，是一本不可多得的好书。,4星,2024-11-24
白夜行,王五,一般般,这本书真的太好看了！情节跌宕起伏，让人欲罢不能。强烈推荐给大家！,5星,2025-01-23
小王子,小明,有点失望,书中的观点很新颖，给了我很多新的思考角度。,5星,2025-10-03
1984,思考者,还可以,故事感人至深，让我流了好几次眼泪。,5星,2025-05-05
追风筝的人,医生,值得一读,作者的见解独到，文字功底深厚，值得细细品味。,4星,2024-12-17
围城,梦想家,还可以,内容丰富，逻辑清晰，是一本不可多得的好书。,4星,2025-06-09
百年孤独,大学生,不错的书,作者的见解独到，文字功底深厚，值得细细品味。,5星,2025-04-28
1984,教师,引人深思,整体还可以，就是有些地方感觉有点啰嗦。,3星,2025-09-05
红楼梦,书香门第,强烈推荐,这本书改变了我的很多想法，非常有启发性。感谢作者！,5星,2025-05-17
原则,读书爱好者,非常好看,书中的观点很新颖，给了我很多新的思考角度。,5星,2025-07-17
平凡的世界,作家,值得一读,这本书真的太好看了！情节跌宕起伏，让人欲罢不能。强烈推荐给大家！,5星,2025-06-26
白夜行,程序员,感人至深,书的内容比较平淡，但也有一些可取之处。,3星,2025-04-13
1984,律师,引人深思,书的装帧不错，内容还在慢慢品读中。,3星,2025-11-16
月亮与六便士,书虫一枚,有点失望,故事感人至深，让我流了好几次眼泪。,5星,2025-03-25
红楼梦,读书爱好者,不错的书,这是我今年读过最好的一本书，强烈推荐！,4星,2025-07-02
原则,编辑,很喜欢,书的装帧精美，内容更是精彩绝伦。,4星,2025-08-26
人类简史,梦想家,强烈推荐,读起来很流畅，故事很吸引人，一口气就读完了。,5星,2025-05-24
围城,李四,不错的书,非常值得一读的好书，给我带来了很多思考和启发。五星好评！,5星,2024-11-25
解忧杂货店,工程师,必读好书,还没读完，目前感觉一般，继续看看吧。,3星,2024-12-03
解忧杂货店,文艺范,值得一读,内容充实，结构完整，是一本很有价值的书。,5星,2025-07-30
解忧杂货店,上班族,还可以,内容充实，结构完整，是一本很有价值的书。,5星,2025-07-18
三体,律师,很喜欢,读完这本书，感觉自己的视野开阔了很多。,5星,2025-05-20
追风筝的人,大学生,还可以,这本书让我重新思考了人生的意义。,4星,2025-08-16
追风筝的人,设计师,经典之作,书的内容比较平淡，但也有一些可取之处。,3星,2025-04-26
人类简史,小明,一般般,内容丰富，逻辑清晰，是一本不可多得的好书。,5星,2025-10-04
围城,大学生,一般般,内容丰富，逻辑清晰，是一本不可多得的好书。,5星,2025-11-24
平凡的世界,张三,平淡无奇,书的装帧不错，内容还在慢慢品读中。,3星,2025-02-24
三体,文学青年,还可以,故事情节引人入胜，人物刻画生动，是近期读过最好的一本书。,5星,2024-12-17
人类简史,退休老人,太棒了,书的质量很好，内容更是精彩。已经推荐给身边的朋友了。,5星,2025-09-22
白夜行,思考者,感人至深,还没读完，目前感觉一般，继续看看吧。,4星,2025-07-25
平凡的世界,思考者,还可以,内容充实，结构完整，是一本很有价值的书。,4星,2025-08-12
原则,小明,不错的书,书的质量很好，内容更是精彩。已经推荐给身边的朋友了。,5星,2025-06-08
追风筝的人,工程师,一般般,非常喜欢这本书，已经买了好几本送给朋友。,5星,2025-01-11
三体,静静,不错的书,非常棒的一本书，值得每个人都读一读。,5星,2025-04-23
挪威的森林,阳光少年,太棒了,书中的观点很新颖，给了我很多新的思考角度。,5星,2025-08-29
挪威的森林,设计师,必读好书,书的装帧不错，内容还在慢慢品读中。,3星,2024-11-28
围城,全职妈妈,感人至深,有些观点比较有意思，但整体感觉一般般。,4星,2025-03-27
三体,设计师,强烈推荐,故事感人至深，让我流了好几次眼泪。,5星,2025-11-11
追风筝的人,文学青年,有点失望,这本书真的太好看了！情节跌宕起伏，让人欲罢不能。强烈推荐给大家！,5星,2025-04-14
原则,阳光少年,有点失望,这本书真的太好看了！情节跌宕起伏，让人欲罢不能。强烈推荐给大家！,5星,2025-06-12
红楼梦,教师,太棒了,非常棒的一本书，值得每个人都读一读。,5星,2025-11-15
活着,知识分子,有点失望,故事情节引人入胜，人物刻画生动，是近期读过最好的一本书。,5星,2025-02-04
活着,研究生,感人至深,还没读完，目前感觉一般，继续看看吧。,3星,2025-06-26
解忧杂货店,小明,浪费时间,书的质量一般，而且有些错别字。,2星,2025-08-27
月亮与六便士,教师,强烈推荐,读起来很流畅，故事很吸引人，一口气就读完了。,5星,2025-08-22
解忧杂货店,工程师,太棒了,读起来很流畅，故事很吸引人，一口气就读完了。,4星,2025-09-05
小王子,小明,引人深思,有些观点比较有意思，但整体感觉一般般。,3星,2025-11-02
活着,思考者,很喜欢,非常棒的一本书，值得每个人都读一读。,5星,2025-11-04
围城,梦想家,必读好书,有些观点比较有意思，但整体感觉一般般。,3星,2025-08-25
三体,退休老人,有点失望,内容充实，结构完整，是一本很有价值的书。,5星,2025-01-30
解忧杂货店,医生,有点失望,看了好几遍，每次都有新的感悟。这是一本可以反复阅读的经典之作。,5星,2025-06-17
百年孤独,学生党,非常好看,这本书真的太好看了！情节跌宕起伏，让人欲罢不能。强烈推荐给大家！,5星,2025-06-25
解忧杂货店,上班族,感人至深,书的内容还可以，但是感觉有些地方写得不够深入。,3星,2025-11-18
百年孤独,大学生,引人深思,有些观点比较有意思，但整体感觉一般般。,3星,2024-12-04
活着,记者,经典之作,书的质量挺好的，内容中规中矩，适合打发时间。,3星,2025-01-17
活着,书虫一枚,平淡无奇,书的内容比较平淡，但也有一些可取之处。,3星,2025-07-22
1984,律师,强烈推荐,这本书改变了我的很多想法，非常有启发性。感谢作者！,4星,2025-01-11
原则,记者,太棒了,故事情节引人入胜，人物刻画生动，是近期读过最好的一本书。,4星,2025-07-20
活着,静静,非常好看,书的质量很好，内容更是精彩。已经推荐给身边的朋友了。,5星,2025-04-16
三体,阳光少年,有点失望,非常值得一读的好书，给我带来了很多思考和启发。五星好评！,5星,2025-07-02
1984,阳光少年,强烈推荐,这是我今年读过最好的一本书，强烈推荐！,5星,2025-08-10
白夜行,记者,强烈推荐,这本书改变了我的很多想法，非常有启发性。感谢作者！,4星,2025-10-29
挪威的森林,思考者,感人至深,还没读完，目前感觉一般，继续看看吧。,4星,2025-02-10
人类简史,医生,太棒了,内容充实，结构完整，是一本很有价值的书。,4星,2025-07-26
挪威的森林,爱读书的猫,引人深思,书的内容比较平淡，但也有一些可取之处。,3星,2025-09-02
月亮与六便士,阳光少年,经典之作,书的内容还可以，但是感觉有些地方写得不够深入。,3星,2025-03-13
三体,书香门第,感人至深,书是正版的，印刷质量不错，内容见仁见智吧。,3星,2025-10-05
追风筝的人,阳光少年,太棒了,内容充实，结构完整，是一本很有价值的书。,5星,2025-11-02
平凡的世界,设计师,不错的书,这本书让我重新思考了人生的意义。,5星,2025-04-24
百年孤独,全职妈妈,一般般,内容充实，结构完整，是一本很有价值的书。,4星,2025-03-28
围城,律师,有点失望,读完这本书，感觉自己的视野开阔了很多。,5星,2025-08-21
1984,静静,太棒了,这本书让我重新思考了人生的意义。,5星,2025-10-10
平凡的世界,知识分子,浪费时间,书的质量一般，而且有些错别字。,1星,2025-09-07
人类简史,研究生,不推荐,书中的观点很新颖，给了我很多新的思考角度。,5星,2025-11-20
围城,退休老人,非常好看,书的装帧精美，内容更是精彩绝伦。,5星,2025-03-18
人类简史,张三,太棒了,看了好几遍，每次都有新的感悟。这是一本可以反复阅读的经典之作。,5星,2025-09-19
月亮与六便士,知识分子,引人深思,整体来说还不错，就是节奏有点慢，需要耐心读下去。,4星,2025-04-29
人类简史,程序员,感人至深,有些观点比较有意思，但整体感觉一般般。,3星,2025-01-29
围城,律师,非常好看,非常棒的一本书，值得每个人都读一读。,5星,2025-01-22
百年孤独,作家,不错的书,故事情节引人入胜，人物刻画生动，是近期读过最好的一本书。,5星,2025-01-09
1984,编辑,很喜欢,作者的见解独到，文字功底深厚，值得细细品味。,4星,2025-11-21
红楼梦,研究生,太棒了,故事情节引人入胜，人物刻画生动，是近期读过最好的一本书。,5星,2025-05-02
小王子,爱读书的猫,很喜欢,非常值得一读的好书，给我带来了很多思考和启发。五星好评！,5星,2025-07-22
活着,程序员,不推荐,看了好几遍，每次都有新的感悟。这是一本可以反复阅读的经典之作。,5星,2025-04-08
挪威的森林,设计师,太棒了,文笔优美，思想深刻，读完让人受益匪浅。强烈推荐！,5星,2025-05-08
百年孤独,作家,还可以,非常棒的一本书，值得每个人都读一读。,5星,2024-12-18
小王子,编辑,还可以,文笔优美，思想深刻，读完让人受益匪浅。强烈推荐！,5星,2025-05-17
月亮与六便士,李四,很喜欢,读完这本书，感觉自己的视野开阔了很多。,4星,2025-08-07
平凡的世界,思考者,不推荐,读起来很流畅，故事很吸引人，一口气就读完了。,5星,2025-07-16
挪威的森林,张三,必读好书,还没读完，目前感觉一般，继续看看吧。,3星,2025-08-01
解忧杂货店,梦想家,值得一读,书中的观点很新颖，给了我很多新的思考角度。,5星,2025-08-02
小王子,文艺范,惊喜之作,翻译得不太好，读起来很别扭。,3星,2025-05-07
红楼梦,文学青年,值得一读,书中的观点很新颖，给了我很多新的思考角度。,5星,2025-05-28
人类简史,律师,经典之作,读了一半，感觉还行，但没有想象中那么精彩。,3星,2025-05-18
挪威的森林,静静,值得一读,文笔优美，思想深刻，读完让人受益匪浅。强烈推荐！,5星,2025-08-08
月亮与六便士,文学青年,很喜欢,读起来很流畅，故事很吸引人，一口气就读完了。,5星,2025-09-14
追风筝的人,知识分子,引人深思,整体来说还不错，就是节奏有点慢，需要耐心读下去。,4星,2025-06-03
三体,静静,低于预期,感觉被过度吹捧了，实际内容很一般。,1星,2025-07-13
解忧杂货店,工程师,浪费时间,感觉被过度吹捧了，实际内容很一般。,1星,2025-01-03
人类简史,思考者,值得一读,非常棒的一本书，值得每个人都读一读。,5星,2025-04-02
活着,王五,感人至深,书的内容还可以，但是感觉有些地方写得不够深入。,4星,2025-06-04
追风筝的人,大学生,感人至深,书的内容比较平淡，但也有一些可取之处。,4星,2025-03-08
三体,知识分子,感人至深,书是正版的，印刷质量不错，内容见仁见智吧。,3星,2025-11-21
红楼梦,爱读书的猫,还可以,故事感人至深，让我流了好几次眼泪。,5星,2025-07-27
三体,全职妈妈,超出预期,内容比较老套，没什么新意。,1星,2025-04-07
原则,小明,浪费时间,读了几页就读不下去了，内容太枯燥了。,3星,2025-09-19
活着,爱读书的猫,有点失望,书中的观点很新颖，给了我很多新的思考角度。,5星,2025-03-07
原则,知识分子,值得一读,书的质量很好，内容更是精彩。已经推荐给身边的朋友了。,5星,2025-03-26
原则,作家,非常好看,这本书让我重新思考了人生的意义。,4星,2025-06-29
红楼梦,李四,有点失望,看了好几遍，每次都有新的感悟。这是一本可以反复阅读的经典之作。,5星,2025-07-26
1984,设计师,不推荐,读完这本书，感觉自己的视野开阔了很多。,5星,2024-11-26
围城,静静,很喜欢,书中的观点很新颖，给了我很多新的思考角度。,4星,2025-01-27
解忧杂货店,学生党,不错的书,这是我今年读过最好的一本书，强烈推荐！,5星,2025-09-02
红楼梦,书香门第,经典之作,书的内容比较平淡，但也有一些可取之处。,4星,2025-06-11
三体,静静,不推荐,内容丰富，逻辑清晰，是一本不可多得的好书。,5星,2024-11-28
围城,编辑,有点失望,书的质量很好，内容更是精彩。已经推荐给身边的朋友了。,4星,2025-05-28
追风筝的人,作家,经典之作,书的质量挺好的，内容中规中矩，适合打发时间。,4星,2025-04-21
原则,梦想家,太棒了,这是我今年读过最好的一本书，强烈推荐！,4星,2025-10-22
人类简史,大学生,太棒了,内容充实，结构完整，是一本很有价值的书。,4星,2025-05-04
百年孤独,书虫一枚,有点失望,书的质量很好，内容更是精彩。已经推荐给身边的朋友了。,4星,2025-01-19
围城,设计师,太棒了,内容充实，结构完整，是一本很有价值的书。,5星,2025-08-09
月亮与六便士,研究生,不错的书,故事感人至深，让我流了好几次眼泪。,5星,2025-01-26
红楼梦,王五,还可以,故事情节引人入胜，人物刻画生动，是近期读过最好的一本书。,4星,2025-11-04
围城,张三,一般般,内容充实，结构完整，是一本很有价值的书。,5星,2024-12-20
月亮与六便士,书香门第,不错的书,书中的观点很新颖，给了我很多新的思考角度。,4星,2025-08-27
平凡的世界,教师,值得一读,这是我今年读过最好的一本书，强烈推荐！,5星,2025-04-06
原则,工程师,不推荐,故事感人至深，让我流了好几次眼泪。,5星,2025-04-13
小王子,文学青年,引人深思,还没读完，目前感觉一般，继续看看吧。,4星,2025-07-17
平凡的世界,大学生,必读好书,整体来说还不错，就是节奏有点慢，需要耐心读下去。,4星,2025-08-06
围城,书虫一枚,一般般,这是我今年读过最好的一本书，强烈推荐！,5星,2024-12-22
1984,静静,还可以,故事情节引人入胜，人物刻画生动，是近期读过最好的一本书。,5星,2025-03-10
百年孤独,李四,引人深思,书的内容比较平淡，但也有一些可取之处。,3星,2025-11-20
小王子,文学青年,感人至深,书的内容比较平淡，但也有一些可取之处。,3星,2024-12-16
原则,静静,非常好看,非常值得一读的好书，给我带来了很多思考和启发。五星好评！,4星,2025-08-23
挪威的森林,大学生,一般般,内容充实，结构完整，是一本很有价值的书。,4星,2024-12-12
1984,读书爱好者,符合预期,书的质量一般，而且有些错别字。,1星,2025-05-13
白夜行,大学生,低于预期,书的内容和介绍差距太大，有点失望。,3星,2025-02-16
解忧杂货店,记者,还可以,故事感人至深，让我流了好几次眼泪。,4星,2025-02-10
白夜行,退休老人,符合预期,期望太高，结果有点失望。,1星,2024-11-27
原则,小明,强烈推荐,文笔优美，思想深刻，读完让人受益匪浅。强烈推荐！,5星,2025-01-20
红楼梦,律师,很喜欢,书的装帧精美，内容更是精彩绝伦。,5星,2024-12-25
追风筝的人,梦想家,经典之作,书的内容比较平淡，但也有一些可取之处。,4星,2025-06-30
追风筝的人,书虫一枚,不推荐,读起来很流畅，故事很吸引人，一口气就读完了。,4星,2025-01-03
围城,文艺范,感人至深,还没读完，目前感觉一般，继续看看吧。,3星,2025-01-25
三体,王五,不错的书,这本书改变了我的很多想法，非常有启发性。感谢作者！,5星,2025-01-03
挪威的森林,李四,还可以,内容丰富，逻辑清晰，是一本不可多得的好书。,4星,2025-10-28
月亮与六便士,大学生,不推荐,读完这本书，感觉自己的视野开阔了很多。,4星,2025-02-08
红楼梦,文艺范,有点失望,故事感人至深，让我流了好几次眼泪。,5星,2025-10-10
三体,作家,强烈推荐,非常棒的一本书，值得每个人都读一读。,5星,2025-06-11
