书名,作者,标题,内容,评分,日期,内容_处理后
平凡的世界,阳光少年,有点失望,书的装帧精美，内容更是精彩绝伦。,5星,2025-08-17,书的装帧精美内容更是精彩绝伦
红楼梦,阳光少年,引人深思,书的内容还可以，但是感觉有些地方写得不够深入。,3星,2025-10-14,书的内容还可以但是感觉有些地方写得不够深入
白夜行,记者,必读好书,整体来说还不错，就是节奏有点慢，需要耐心读下去。,4星,2025-03-20,整体来说还不错就是节奏有点慢需要耐心读下去
百年孤独,大学生,还可以,非常棒的一本书，值得每个人都读一读。,5星,2025-01-23,非常棒的一本书值得每个人都读一读
三体,上班族,很喜欢,读起来很流畅，故事很吸引人，一口气就读完了。,5星,2025-03-23,读起来很流畅故事很吸引人一口气就读完了
百年孤独,爱读书的猫,不推荐,看了好几遍，每次都有新的感悟。这是一本可以反复阅读的经典之作。,4星,2025-06-03,看了好几遍每次都有新的感悟这是一本可以反复阅读的经典之作
原则,张三,非常好看,故事感人至深，让我流了好几次眼泪。,4星,2025-05-09,故事感人至深让我流了好几次眼泪
平凡的世界,医生,非常好看,这是我今年读过最好的一本书，强烈推荐！,5星,2025-02-28,这是我今年读过最好的一本书强烈推荐
红楼梦,程序员,感人至深,读了一半，感觉还行，但没有想象中那么精彩。,3星,2024-12-06,读了一半感觉还行但没有想象中那么精彩
白夜行,上班族,惊喜之作,书的质量一般，而且有些错别字。,1星,2024-12-14,书的质量一般而且有些错别字
人类简史,医生,有点失望,这本书改变了我的很多想法，非常有启发性。感谢作者！,5星,2025-04-10,这本书改变了我的很多想法非常有启发性感谢作者
1984,工程师,非常好看,作者的见解独到，文字功底深厚，值得细细品味。,5星,2025-07-07,作者的见解独到文字功底深厚值得细细品味
白夜行,医生,一般般,内容丰富，逻辑清晰，是一本不可多得的好书。,5星,2025-11-13,内容丰富逻辑清晰是一本不可多得的好书
活着,书虫一枚,必读好书,整体还可以，就是有些地方感觉有点啰嗦。,3星,2025-11-22,整体还可以就是有些地方感觉有点啰嗦
追风筝的人,小明,一般般,非常值得一读的好书，给我带来了很多思考和启发。五星好评！,5星,2025-05-22,非常值得一读的好书给我带来了很多思考和启发五星好评
小王子,文艺范,非常好看,读完之后内心久久不能平静，作者的文笔太棒了，每个细节都描写得很到位。,5星,2025-01-11,读完之后内心久久不能平静作者的文笔太棒了每个细节都描写得很到位
人类简史,文学青年,超出预期,期望太高，结果有点失望。,3星,2024-12-11,期望太高结果有点失望
小王子,程序员,很喜欢,这本书改变了我的很多想法，非常有启发性。感谢作者！,4星,2025-01-10,这本书改变了我的很多想法非常有启发性感谢作者
红楼梦,程序员,浪费时间,翻译得不太好，读起来很别扭。,1星,2025-03-24,翻译得不太好读起来很别扭
1984,学生党,超出预期,期望太高，结果有点失望。,3星,2025-06-19,期望太高结果有点失望
红楼梦,知识分子,不推荐,读完之后内心久久不能平静，作者的文笔太棒了，每个细节都描写得很到位。,4星,2025-06-09,读完之后内心久久不能平静作者的文笔太棒了每个细节都描写得很到位
原则,梦想家,浪费时间,书的质量一般，而且有些错别字。,2星,2025-01-26,书的质量一般而且有些错别字
人类简史,工程师,一般般,非常值得一读的好书，给我带来了很多思考和启发。五星好评！,5星,2025-09-09,非常值得一读的好书给我带来了很多思考和启发五星好评
小王子,文学青年,一般般,内容丰富，逻辑清晰，是一本不可多得的好书。,4星,2024-12-20,内容丰富逻辑清晰是一本不可多得的好书
原则,设计师,一般般,非常棒的一本书，值得每个人都读一读。,4星,2025-06-10,非常棒的一本书值得每个人都读一读
活着,读书爱好者,值得一读,书中的观点很新颖，给了我很多新的思考角度。,5星,2025-05-22,书中的观点很新颖给了我很多新的思考角度
红楼梦,记者,平淡无奇,整体还可以，就是有些地方感觉有点啰嗦。,4星,2025-11-07,整体还可以就是有些地方感觉有点啰嗦
1984,教师,不推荐,内容丰富，逻辑清晰，是一本不可多得的好书。,5星,2025-08-10,内容丰富逻辑清晰是一本不可多得的好书
百年孤独,律师,惊喜之作,书的内容和介绍差距太大，有点失望。,2星,2025-08-30,书的内容和介绍差距太大有点失望
原则,李四,经典之作,读了一半，感觉还行，但没有想象中那么精彩。,3星,2025-07-14,读了一半感觉还行但没有想象中那么精彩
解忧杂货店,研究生,必读好书,书的装帧不错，内容还在慢慢品读中。,4星,2025-02-15,书的装帧不错内容还在慢慢品读中
原则,律师,值得一读,这是我今年读过最好的一本书，强烈推荐！,4星,2025-09-12,这是我今年读过最好的一本书强烈推荐
1984,张三,非常好看,这本书改变了我的很多想法，非常有启发性。感谢作者！,5星,2025-08-26,这本书改变了我的很多想法非常有启发性感谢作者
红楼梦,作家,很喜欢,非常棒的一本书，值得每个人都读一读。,4星,2025-10-11,非常棒的一本书值得每个人都读一读
平凡的世界,设计师,很喜欢,内容充实，结构完整，是一本很有价值的书。,5星,2025-10-23,内容充实结构完整是一本很有价值的书
平凡的世界,王五,经典之作,读了一半，感觉还行，但没有想象中那么精彩。,3星,2025-01-05,读了一半感觉还行但没有想象中那么精彩
三体,全职妈妈,经典之作,整体还可以，就是有些地方感觉有点啰嗦。,4星,2025-01-01,整体还可以就是有些地方感觉有点啰嗦
1984,读书爱好者,强烈推荐,看了好几遍，每次都有新的感悟。这是一本可以反复阅读的经典之作。,4星,2025-02-21,看了好几遍每次都有新的感悟这是一本可以反复阅读的经典之作
追风筝的人,书虫一枚,必读好书,有些观点比较有意思，但整体感觉一般般。,4星,2025-10-01,有些观点比较有意思但整体感觉一般般
围城,作家,值得一读,书的质量很好，内容更是精彩。已经推荐给身边的朋友了。,5星,2025-08-23,书的质量很好内容更是精彩已经推荐给身边的朋友了
解忧杂货店,书香门第,不错的书,这本书让我重新思考了人生的意义。,5星,2025-03-25,这本书让我重新思考了人生的意义
挪威的森林,文学青年,浪费时间,故事情节太拖沓，看得很累。,2星,2025-11-06,故事情节太拖沓看得很累
月亮与六便士,工程师,一般般,看了好几遍，每次都有新的感悟。这是一本可以反复阅读的经典之作。,4星,2025-09-13,看了好几遍每次都有新的感悟这是一本可以反复阅读的经典之作
追风筝的人,退休老人,太棒了,非常值得一读的好书，给我带来了很多思考和启发。五星好评！,5星,2025-11-06,非常值得一读的好书给我带来了很多思考和启发五星好评
百年孤独,梦想家,值得一读,这本书真的太好看了！情节跌宕起伏，让人欲罢不能。强烈推荐给大家！,5星,2025-04-27,这本书真的太好看了情节跌宕起伏让人欲罢不能强烈推荐给大家
三体,李四,还可以,非常喜欢这本书，已经买了好几本送给朋友。,4星,2025-08-06,非常喜欢这本书已经买了好几本送给朋友
百年孤独,文艺范,引人深思,书的装帧不错，内容还在慢慢品读中。,3星,2025-08-20,书的装帧不错内容还在慢慢品读中
解忧杂货店,学生党,不错的书,读完之后内心久久不能平静，作者的文笔太棒了，每个细节都描写得很到位。,5星,2025-08-02,读完之后内心久久不能平静作者的文笔太棒了每个细节都描写得很到位
挪威的森林,学生党,必读好书,书的装帧不错，内容还在慢慢品读中。,4星,2025-03-09,书的装帧不错内容还在慢慢品读中
三体,知识分子,一般般,读完之后内心久久不能平静，作者的文笔太棒了，每个细节都描写得很到位。,5星,2025-08-13,读完之后内心久久不能平静作者的文笔太棒了每个细节都描写得很到位
围城,静静,不推荐,读完之后内心久久不能平静，作者的文笔太棒了，每个细节都描写得很到位。,5星,2025-09-17,读完之后内心久久不能平静作者的文笔太棒了每个细节都描写得很到位
红楼梦,爱读书的猫,不推荐,内容丰富，逻辑清晰，是一本不可多得的好书。,4星,2024-11-24,内容丰富逻辑清晰是一本不可多得的好书
白夜行,王五,一般般,这本书真的太好看了！情节跌宕起伏，让人欲罢不能。强烈推荐给大家！,5星,2025-01-23,这本书真的太好看了情节跌宕起伏让人欲罢不能强烈推荐给大家
小王子,小明,有点失望,书中的观点很新颖，给了我很多新的思考角度。,5星,2025-10-03,书中的观点很新颖给了我很多新的思考角度
1984,思考者,还可以,故事感人至深，让我流了好几次眼泪。,5星,2025-05-05,故事感人至深让我流了好几次眼泪
追风筝的人,医生,值得一读,作者的见解独到，文字功底深厚，值得细细品味。,4星,2024-12-17,作者的见解独到文字功底深厚值得细细品味
围城,梦想家,还可以,内容丰富，逻辑清晰，是一本不可多得的好书。,4星,2025-06-09,内容丰富逻辑清晰是一本不可多得的好书
百年孤独,大学生,不错的书,作者的见解独到，文字功底深厚，值得细细品味。,5星,2025-04-28,作者的见解独到文字功底深厚值得细细品味
1984,教师,引人深思,整体还可以，就是有些地方感觉有点啰嗦。,3星,2025-09-05,整体还可以就是有些地方感觉有点啰嗦
红楼梦,书香门第,强烈推荐,这本书改变了我的很多想法，非常有启发性。感谢作者！,5星,2025-05-17,这本书改变了我的很多想法非常有启发性感谢作者
原则,读书爱好者,非常好看,书中的观点很新颖，给了我很多新的思考角度。,5星,2025-07-17,书中的观点很新颖给了我很多新的思考角度
平凡的世界,作家,值得一读,这本书真的太好看了！情节跌宕起伏，让人欲罢不能。强烈推荐给大家！,5星,2025-06-26,这本书真的太好看了情节跌宕起伏让人欲罢不能强烈推荐给大家
白夜行,程序员,感人至深,书的内容比较平淡，但也有一些可取之处。,3星,2025-04-13,书的内容比较平淡但也有一些可取之处
1984,律师,引人深思,书的装帧不错，内容还在慢慢品读中。,3星,2025-11-16,书的装帧不错内容还在慢慢品读中
月亮与六便士,书虫一枚,有点失望,故事感人至深，让我流了好几次眼泪。,5星,2025-03-25,故事感人至深让我流了好几次眼泪
红楼梦,读书爱好者,不错的书,这是我今年读过最好的一本书，强烈推荐！,4星,2025-07-02,这是我今年读过最好的一本书强烈推荐
原则,编辑,很喜欢,书的装帧精美，内容更是精彩绝伦。,4星,2025-08-26,书的装帧精美内容更是精彩绝伦
人类简史,梦想家,强烈推荐,读起来很流畅，故事很吸引人，一口气就读完了。,5星,2025-05-24,读起来很流畅故事很吸引人一口气就读完了
围城,李四,不错的书,非常值得一读的好书，给我带来了很多思考和启发。五星好评！,5星,2024-11-25,非常值得一读的好书给我带来了很多思考和启发五星好评
解忧杂货店,工程师,必读好书,还没读完，目前感觉一般，继续看看吧。,3星,2024-12-03,还没读完目前感觉一般继续看看吧
解忧杂货店,文艺范,值得一读,内容充实，结构完整，是一本很有价值的书。,5星,2025-07-30,内容充实结构完整是一本很有价值的书
解忧杂货店,上班族,还可以,内容充实，结构完整，是一本很有价值的书。,5星,2025-07-18,内容充实结构完整是一本很有价值的书
三体,律师,很喜欢,读完这本书，感觉自己的视野开阔了很多。,5星,2025-05-20,读完这本书感觉自己的视野开阔了很多
追风筝的人,大学生,还可以,这本书让我重新思考了人生的意义。,4星,2025-08-16,这本书让我重新思考了人生的意义
追风筝的人,设计师,经典之作,书的内容比较平淡，但也有一些可取之处。,3星,2025-04-26,书的内容比较平淡但也有一些可取之处
人类简史,小明,一般般,内容丰富，逻辑清晰，是一本不可多得的好书。,5星,2025-10-04,内容丰富逻辑清晰是一本不可多得的好书
围城,大学生,一般般,内容丰富，逻辑清晰，是一本不可多得的好书。,5星,2025-11-24,内容丰富逻辑清晰是一本不可多得的好书
平凡的世界,张三,平淡无奇,书的装帧不错，内容还在慢慢品读中。,3星,2025-02-24,书的装帧不错内容还在慢慢品读中
三体,文学青年,还可以,故事情节引人入胜，人物刻画生动，是近期读过最好的一本书。,5星,2024-12-17,故事情节引人入胜人物刻画生动是近期读过最好的一本书
人类简史,退休老人,太棒了,书的质量很好，内容更是精彩。已经推荐给身边的朋友了。,5星,2025-09-22,书的质量很好内容更是精彩已经推荐给身边的朋友了
白夜行,思考者,感人至深,还没读完，目前感觉一般，继续看看吧。,4星,2025-07-25,还没读完目前感觉一般继续看看吧
平凡的世界,思考者,还可以,内容充实，结构完整，是一本很有价值的书。,4星,2025-08-12,内容充实结构完整是一本很有价值的书
原则,小明,不错的书,书的质量很好，内容更是精彩。已经推荐给身边的朋友了。,5星,2025-06-08,书的质量很好内容更是精彩已经推荐给身边的朋友了
追风筝的人,工程师,一般般,非常喜欢这本书，已经买了好几本送给朋友。,5星,2025-01-11,非常喜欢这本书已经买了好几本送给朋友
三体,静静,不错的书,非常棒的一本书，值得每个人都读一读。,5星,2025-04-23,非常棒的一本书值得每个人都读一读
挪威的森林,阳光少年,太棒了,书中的观点很新颖，给了我很多新的思考角度。,5星,2025-08-29,书中的观点很新颖给了我很多新的思考角度
挪威的森林,设计师,必读好书,书的装帧不错，内容还在慢慢品读中。,3星,2024-11-28,书的装帧不错内容还在慢慢品读中
围城,全职妈妈,感人至深,有些观点比较有意思，但整体感觉一般般。,4星,2025-03-27,有些观点比较有意思但整体感觉一般般
三体,设计师,强烈推荐,故事感人至深，让我流了好几次眼泪。,5星,2025-11-11,故事感人至深让我流了好几次眼泪
追风筝的人,文学青年,有点失望,这本书真的太好看了！情节跌宕起伏，让人欲罢不能。强烈推荐给大家！,5星,2025-04-14,这本书真的太好看了情节跌宕起伏让人欲罢不能强烈推荐给大家
原则,阳光少年,有点失望,这本书真的太好看了！情节跌宕起伏，让人欲罢不能。强烈推荐给大家！,5星,2025-06-12,这本书真的太好看了情节跌宕起伏让人欲罢不能强烈推荐给大家
红楼梦,教师,太棒了,非常棒的一本书，值得每个人都读一读。,5星,2025-11-15,非常棒的一本书值得每个人都读一读
活着,知识分子,有点失望,故事情节引人入胜，人物刻画生动，是近期读过最好的一本书。,5星,2025-02-04,故事情节引人入胜人物刻画生动是近期读过最好的一本书
活着,研究生,感人至深,还没读完，目前感觉一般，继续看看吧。,3星,2025-06-26,还没读完目前感觉一般继续看看吧
解忧杂货店,小明,浪费时间,书的质量一般，而且有些错别字。,2星,2025-08-27,书的质量一般而且有些错别字
月亮与六便士,教师,强烈推荐,读起来很流畅，故事很吸引人，一口气就读完了。,5星,2025-08-22,读起来很流畅故事很吸引人一口气就读完了
解忧杂货店,工程师,太棒了,读起来很流畅，故事很吸引人，一口气就读完了。,4星,2025-09-05,读起来很流畅故事很吸引人一口气就读完了
小王子,小明,引人深思,有些观点比较有意思，但整体感觉一般般。,3星,2025-11-02,有些观点比较有意思但整体感觉一般般
活着,思考者,很喜欢,非常棒的一本书，值得每个人都读一读。,5星,2025-11-04,非常棒的一本书值得每个人都读一读
