书名,作者,标题,内容,评分,日期,内容_处理后
围城,梦想家,必读好书,有些观点比较有意思，但整体感觉一般般。,3星,2025-08-25,有些观点比较有意思但整体感觉一般般
三体,退休老人,有点失望,内容充实，结构完整，是一本很有价值的书。,5星,2025-01-30,内容充实结构完整是一本很有价值的书
解忧杂货店,医生,有点失望,看了好几遍，每次都有新的感悟。这是一本可以反复阅读的经典之作。,5星,2025-06-17,看了好几遍每次都有新的感悟这是一本可以反复阅读的经典之作
百年孤独,学生党,非常好看,这本书真的太好看了！情节跌宕起伏，让人欲罢不能。强烈推荐给大家！,5星,2025-06-25,这本书真的太好看了情节跌宕起伏让人欲罢不能强烈推荐给大家
解忧杂货店,上班族,感人至深,书的内容还可以，但是感觉有些地方写得不够深入。,3星,2025-11-18,书的内容还可以但是感觉有些地方写得不够深入
百年孤独,大学生,引人深思,有些观点比较有意思，但整体感觉一般般。,3星,2024-12-04,有些观点比较有意思但整体感觉一般般
活着,记者,经典之作,书的质量挺好的，内容中规中矩，适合打发时间。,3星,2025-01-17,书的质量挺好的内容中规中矩适合打发时间
活着,书虫一枚,平淡无奇,书的内容比较平淡，但也有一些可取之处。,3星,2025-07-22,书的内容比较平淡但也有一些可取之处
1984,律师,强烈推荐,这本书改变了我的很多想法，非常有启发性。感谢作者！,4星,2025-01-11,这本书改变了我的很多想法非常有启发性感谢作者
原则,记者,太棒了,故事情节引人入胜，人物刻画生动，是近期读过最好的一本书。,4星,2025-07-20,故事情节引人入胜人物刻画生动是近期读过最好的一本书
活着,静静,非常好看,书的质量很好，内容更是精彩。已经推荐给身边的朋友了。,5星,2025-04-16,书的质量很好内容更是精彩已经推荐给身边的朋友了
三体,阳光少年,有点失望,非常值得一读的好书，给我带来了很多思考和启发。五星好评！,5星,2025-07-02,非常值得一读的好书给我带来了很多思考和启发五星好评
1984,阳光少年,强烈推荐,这是我今年读过最好的一本书，强烈推荐！,5星,2025-08-10,这是我今年读过最好的一本书强烈推荐
白夜行,记者,强烈推荐,这本书改变了我的很多想法，非常有启发性。感谢作者！,4星,2025-10-29,这本书改变了我的很多想法非常有启发性感谢作者
挪威的森林,思考者,感人至深,还没读完，目前感觉一般，继续看看吧。,4星,2025-02-10,还没读完目前感觉一般继续看看吧
人类简史,医生,太棒了,内容充实，结构完整，是一本很有价值的书。,4星,2025-07-26,内容充实结构完整是一本很有价值的书
挪威的森林,爱读书的猫,引人深思,书的内容比较平淡，但也有一些可取之处。,3星,2025-09-02,书的内容比较平淡但也有一些可取之处
月亮与六便士,阳光少年,经典之作,书的内容还可以，但是感觉有些地方写得不够深入。,3星,2025-03-13,书的内容还可以但是感觉有些地方写得不够深入
三体,书香门第,感人至深,书是正版的，印刷质量不错，内容见仁见智吧。,3星,2025-10-05,书是正版的印刷质量不错内容见仁见智吧
追风筝的人,阳光少年,太棒了,内容充实，结构完整，是一本很有价值的书。,5星,2025-11-02,内容充实结构完整是一本很有价值的书
平凡的世界,设计师,不错的书,这本书让我重新思考了人生的意义。,5星,2025-04-24,这本书让我重新思考了人生的意义
百年孤独,全职妈妈,一般般,内容充实，结构完整，是一本很有价值的书。,4星,2025-03-28,内容充实结构完整是一本很有价值的书
围城,律师,有点失望,读完这本书，感觉自己的视野开阔了很多。,5星,2025-08-21,读完这本书感觉自己的视野开阔了很多
1984,静静,太棒了,这本书让我重新思考了人生的意义。,5星,2025-10-10,这本书让我重新思考了人生的意义
平凡的世界,知识分子,浪费时间,书的质量一般，而且有些错别字。,1星,2025-09-07,书的质量一般而且有些错别字
人类简史,研究生,不推荐,书中的观点很新颖，给了我很多新的思考角度。,5星,2025-11-20,书中的观点很新颖给了我很多新的思考角度
围城,退休老人,非常好看,书的装帧精美，内容更是精彩绝伦。,5星,2025-03-18,书的装帧精美内容更是精彩绝伦
人类简史,张三,太棒了,看了好几遍，每次都有新的感悟。这是一本可以反复阅读的经典之作。,5星,2025-09-19,看了好几遍每次都有新的感悟这是一本可以反复阅读的经典之作
月亮与六便士,知识分子,引人深思,整体来说还不错，就是节奏有点慢，需要耐心读下去。,4星,2025-04-29,整体来说还不错就是节奏有点慢需要耐心读下去
人类简史,程序员,感人至深,有些观点比较有意思，但整体感觉一般般。,3星,2025-01-29,有些观点比较有意思但整体感觉一般般
围城,律师,非常好看,非常棒的一本书，值得每个人都读一读。,5星,2025-01-22,非常棒的一本书值得每个人都读一读
百年孤独,作家,不错的书,故事情节引人入胜，人物刻画生动，是近期读过最好的一本书。,5星,2025-01-09,故事情节引人入胜人物刻画生动是近期读过最好的一本书
1984,编辑,很喜欢,作者的见解独到，文字功底深厚，值得细细品味。,4星,2025-11-21,作者的见解独到文字功底深厚值得细细品味
红楼梦,研究生,太棒了,故事情节引人入胜，人物刻画生动，是近期读过最好的一本书。,5星,2025-05-02,故事情节引人入胜人物刻画生动是近期读过最好的一本书
小王子,爱读书的猫,很喜欢,非常值得一读的好书，给我带来了很多思考和启发。五星好评！,5星,2025-07-22,非常值得一读的好书给我带来了很多思考和启发五星好评
活着,程序员,不推荐,看了好几遍，每次都有新的感悟。这是一本可以反复阅读的经典之作。,5星,2025-04-08,看了好几遍每次都有新的感悟这是一本可以反复阅读的经典之作
挪威的森林,设计师,太棒了,文笔优美，思想深刻，读完让人受益匪浅。强烈推荐！,5星,2025-05-08,文笔优美思想深刻读完让人受益匪浅强烈推荐
百年孤独,作家,还可以,非常棒的一本书，值得每个人都读一读。,5星,2024-12-18,非常棒的一本书值得每个人都读一读
小王子,编辑,还可以,文笔优美，思想深刻，读完让人受益匪浅。强烈推荐！,5星,2025-05-17,文笔优美思想深刻读完让人受益匪浅强烈推荐
月亮与六便士,李四,很喜欢,读完这本书，感觉自己的视野开阔了很多。,4星,2025-08-07,读完这本书感觉自己的视野开阔了很多
平凡的世界,思考者,不推荐,读起来很流畅，故事很吸引人，一口气就读完了。,5星,2025-07-16,读起来很流畅故事很吸引人一口气就读完了
挪威的森林,张三,必读好书,还没读完，目前感觉一般，继续看看吧。,3星,2025-08-01,还没读完目前感觉一般继续看看吧
解忧杂货店,梦想家,值得一读,书中的观点很新颖，给了我很多新的思考角度。,5星,2025-08-02,书中的观点很新颖给了我很多新的思考角度
小王子,文艺范,惊喜之作,翻译得不太好，读起来很别扭。,3星,2025-05-07,翻译得不太好读起来很别扭
红楼梦,文学青年,值得一读,书中的观点很新颖，给了我很多新的思考角度。,5星,2025-05-28,书中的观点很新颖给了我很多新的思考角度
人类简史,律师,经典之作,读了一半，感觉还行，但没有想象中那么精彩。,3星,2025-05-18,读了一半感觉还行但没有想象中那么精彩
挪威的森林,静静,值得一读,文笔优美，思想深刻，读完让人受益匪浅。强烈推荐！,5星,2025-08-08,文笔优美思想深刻读完让人受益匪浅强烈推荐
月亮与六便士,文学青年,很喜欢,读起来很流畅，故事很吸引人，一口气就读完了。,5星,2025-09-14,读起来很流畅故事很吸引人一口气就读完了
追风筝的人,知识分子,引人深思,整体来说还不错，就是节奏有点慢，需要耐心读下去。,4星,2025-06-03,整体来说还不错就是节奏有点慢需要耐心读下去
三体,静静,低于预期,感觉被过度吹捧了，实际内容很一般。,1星,2025-07-13,感觉被过度吹捧了实际内容很一般
解忧杂货店,工程师,浪费时间,感觉被过度吹捧了，实际内容很一般。,1星,2025-01-03,感觉被过度吹捧了实际内容很一般
人类简史,思考者,值得一读,非常棒的一本书，值得每个人都读一读。,5星,2025-04-02,非常棒的一本书值得每个人都读一读
活着,王五,感人至深,书的内容还可以，但是感觉有些地方写得不够深入。,4星,2025-06-04,书的内容还可以但是感觉有些地方写得不够深入
追风筝的人,大学生,感人至深,书的内容比较平淡，但也有一些可取之处。,4星,2025-03-08,书的内容比较平淡但也有一些可取之处
三体,知识分子,感人至深,书是正版的，印刷质量不错，内容见仁见智吧。,3星,2025-11-21,书是正版的印刷质量不错内容见仁见智吧
红楼梦,爱读书的猫,还可以,故事感人至深，让我流了好几次眼泪。,5星,2025-07-27,故事感人至深让我流了好几次眼泪
三体,全职妈妈,超出预期,内容比较老套，没什么新意。,1星,2025-04-07,内容比较老套没什么新意
原则,小明,浪费时间,读了几页就读不下去了，内容太枯燥了。,3星,2025-09-19,读了几页就读不下去了内容太枯燥了
活着,爱读书的猫,有点失望,书中的观点很新颖，给了我很多新的思考角度。,5星,2025-03-07,书中的观点很新颖给了我很多新的思考角度
原则,知识分子,值得一读,书的质量很好，内容更是精彩。已经推荐给身边的朋友了。,5星,2025-03-26,书的质量很好内容更是精彩已经推荐给身边的朋友了
原则,作家,非常好看,这本书让我重新思考了人生的意义。,4星,2025-06-29,这本书让我重新思考了人生的意义
红楼梦,李四,有点失望,看了好几遍，每次都有新的感悟。这是一本可以反复阅读的经典之作。,5星,2025-07-26,看了好几遍每次都有新的感悟这是一本可以反复阅读的经典之作
1984,设计师,不推荐,读完这本书，感觉自己的视野开阔了很多。,5星,2024-11-26,读完这本书感觉自己的视野开阔了很多
围城,静静,很喜欢,书中的观点很新颖，给了我很多新的思考角度。,4星,2025-01-27,书中的观点很新颖给了我很多新的思考角度
解忧杂货店,学生党,不错的书,这是我今年读过最好的一本书，强烈推荐！,5星,2025-09-02,这是我今年读过最好的一本书强烈推荐
红楼梦,书香门第,经典之作,书的内容比较平淡，但也有一些可取之处。,4星,2025-06-11,书的内容比较平淡但也有一些可取之处
三体,静静,不推荐,内容丰富，逻辑清晰，是一本不可多得的好书。,5星,2024-11-28,内容丰富逻辑清晰是一本不可多得的好书
围城,编辑,有点失望,书的质量很好，内容更是精彩。已经推荐给身边的朋友了。,4星,2025-05-28,书的质量很好内容更是精彩已经推荐给身边的朋友了
追风筝的人,作家,经典之作,书的质量挺好的，内容中规中矩，适合打发时间。,4星,2025-04-21,书的质量挺好的内容中规中矩适合打发时间
原则,梦想家,太棒了,这是我今年读过最好的一本书，强烈推荐！,4星,2025-10-22,这是我今年读过最好的一本书强烈推荐
人类简史,大学生,太棒了,内容充实，结构完整，是一本很有价值的书。,4星,2025-05-04,内容充实结构完整是一本很有价值的书
百年孤独,书虫一枚,有点失望,书的质量很好，内容更是精彩。已经推荐给身边的朋友了。,4星,2025-01-19,书的质量很好内容更是精彩已经推荐给身边的朋友了
围城,设计师,太棒了,内容充实，结构完整，是一本很有价值的书。,5星,2025-08-09,内容充实结构完整是一本很有价值的书
月亮与六便士,研究生,不错的书,故事感人至深，让我流了好几次眼泪。,5星,2025-01-26,故事感人至深让我流了好几次眼泪
红楼梦,王五,还可以,故事情节引人入胜，人物刻画生动，是近期读过最好的一本书。,4星,2025-11-04,故事情节引人入胜人物刻画生动是近期读过最好的一本书
围城,张三,一般般,内容充实，结构完整，是一本很有价值的书。,5星,2024-12-20,内容充实结构完整是一本很有价值的书
月亮与六便士,书香门第,不错的书,书中的观点很新颖，给了我很多新的思考角度。,4星,2025-08-27,书中的观点很新颖给了我很多新的思考角度
平凡的世界,教师,值得一读,这是我今年读过最好的一本书，强烈推荐！,5星,2025-04-06,这是我今年读过最好的一本书强烈推荐
原则,工程师,不推荐,故事感人至深，让我流了好几次眼泪。,5星,2025-04-13,故事感人至深让我流了好几次眼泪
小王子,文学青年,引人深思,还没读完，目前感觉一般，继续看看吧。,4星,2025-07-17,还没读完目前感觉一般继续看看吧
平凡的世界,大学生,必读好书,整体来说还不错，就是节奏有点慢，需要耐心读下去。,4星,2025-08-06,整体来说还不错就是节奏有点慢需要耐心读下去
围城,书虫一枚,一般般,这是我今年读过最好的一本书，强烈推荐！,5星,2024-12-22,这是我今年读过最好的一本书强烈推荐
1984,静静,还可以,故事情节引人入胜，人物刻画生动，是近期读过最好的一本书。,5星,2025-03-10,故事情节引人入胜人物刻画生动是近期读过最好的一本书
百年孤独,李四,引人深思,书的内容比较平淡，但也有一些可取之处。,3星,2025-11-20,书的内容比较平淡但也有一些可取之处
小王子,文学青年,感人至深,书的内容比较平淡，但也有一些可取之处。,3星,2024-12-16,书的内容比较平淡但也有一些可取之处
原则,静静,非常好看,非常值得一读的好书，给我带来了很多思考和启发。五星好评！,4星,2025-08-23,非常值得一读的好书给我带来了很多思考和启发五星好评
挪威的森林,大学生,一般般,内容充实，结构完整，是一本很有价值的书。,4星,2024-12-12,内容充实结构完整是一本很有价值的书
1984,读书爱好者,符合预期,书的质量一般，而且有些错别字。,1星,2025-05-13,书的质量一般而且有些错别字
白夜行,大学生,低于预期,书的内容和介绍差距太大，有点失望。,3星,2025-02-16,书的内容和介绍差距太大有点失望
解忧杂货店,记者,还可以,故事感人至深，让我流了好几次眼泪。,4星,2025-02-10,故事感人至深让我流了好几次眼泪
白夜行,退休老人,符合预期,期望太高，结果有点失望。,1星,2024-11-27,期望太高结果有点失望
原则,小明,强烈推荐,文笔优美，思想深刻，读完让人受益匪浅。强烈推荐！,5星,2025-01-20,文笔优美思想深刻读完让人受益匪浅强烈推荐
红楼梦,律师,很喜欢,书的装帧精美，内容更是精彩绝伦。,5星,2024-12-25,书的装帧精美内容更是精彩绝伦
追风筝的人,梦想家,经典之作,书的内容比较平淡，但也有一些可取之处。,4星,2025-06-30,书的内容比较平淡但也有一些可取之处
追风筝的人,书虫一枚,不推荐,读起来很流畅，故事很吸引人，一口气就读完了。,4星,2025-01-03,读起来很流畅故事很吸引人一口气就读完了
围城,文艺范,感人至深,还没读完，目前感觉一般，继续看看吧。,3星,2025-01-25,还没读完目前感觉一般继续看看吧
三体,王五,不错的书,这本书改变了我的很多想法，非常有启发性。感谢作者！,5星,2025-01-03,这本书改变了我的很多想法非常有启发性感谢作者
挪威的森林,李四,还可以,内容丰富，逻辑清晰，是一本不可多得的好书。,4星,2025-10-28,内容丰富逻辑清晰是一本不可多得的好书
月亮与六便士,大学生,不推荐,读完这本书，感觉自己的视野开阔了很多。,4星,2025-02-08,读完这本书感觉自己的视野开阔了很多
红楼梦,文艺范,有点失望,故事感人至深，让我流了好几次眼泪。,5星,2025-10-10,故事感人至深让我流了好几次眼泪
三体,作家,强烈推荐,非常棒的一本书，值得每个人都读一读。,5星,2025-06-11,非常棒的一本书值得每个人都读一读
